,coef
know suffer,0.07443073393099753
hit,0.07464686260608146
real,0.07510219403079987
insomnia,0.0754054735391145
bottom,0.07546866882229164
name,0.07553642276416644
people think,0.07572855565071232
regular,0.07597756269430968
chapter,0.07686170690539856
teen,0.07702724704543007
silence,0.07726754433919619
fill,0.07726840214960762
pack,0.0778517045094359
contact,0.07829126835970682
winner,0.07847526627386342
launch,0.07857086956003109
personal,0.07862863932008364
speech,0.07894561567435598
saturday,0.07967437381326627
common,0.0797016361858265
bpd,0.08002204792005871
good luck,0.08026886821061625
respect,0.0803893200343382
what s,0.08070504202967438
form,0.08087510276894003
hip hop,0.08100765360925054
research,0.08104073420769843
repeat,0.08133801721846984
ball,0.08152564322300435
wash,0.08180793883653456
i d,0.08257137666341029
pic,0.08266008331488374
lunch,0.08385826174054055
every,0.08386011217253517
lesson,0.0842488280377181
mother,0.08462147498448248
ptsd severe,0.08482172137228089
partner,0.08483800749474146
taste,0.08484360691251425
spend time,0.08486584708270857
go back,0.08510604626064865
pretend,0.0851722876252934
without,0.08523610436890736
back,0.08529250139856033
current,0.08570647308171106
calm,0.08597568158184947
allow,0.08599451134224906
start feel,0.08599771594577212
all,0.0868687289698063
different,0.08690663540836716
look like,0.08702301390406769
word,0.08738248868092093
statement,0.08760359227278101
base,0.08791985064387965
social,0.08812001809760198
review,0.08819393479847203
sooo,0.0890802580150793
incredible,0.08909584265699767
punch,0.08954579278096383
generally,0.08968278540687276
boss,0.08971615016266125
depression damn,0.0899543463646878
need help,0.09024691391983843
last night,0.09026203506036198
rt,0.09050166530310935
taylor swift,0.09062259485586245
fuckin,0.09072603645703922
leave house,0.09092331968109899
begin,0.09096546128076878
speak,0.09099634090804896
would never,0.09180462433730287
potential,0.09186362321663645
service,0.09193059204372127
people make,0.09195542172798175
struggle depression,0.09220277056419063
winter,0.09279728967629997
majority,0.09296260480252762
stone,0.0930907759609572
rest life,0.09336745231584259
nt like,0.09338173682250323
love one,0.09385746119256501
loud,0.09390111400467485
church,0.09412178316244796
lockdown,0.09423976798048313
drop,0.09449055572056327
cat,0.09453051544576618
reach,0.09481907293286956
stress get,0.09482201562154503
cry feel,0.09482242651118576
small,0.0948394670770626
cry sleep,0.09567194854301027
thursday,0.09635122112160067
whether,0.09639060756952252
follow,0.09646919688227672
bet,0.09668592127564171
believe,0.09729051945491585
unfortunately,0.09732462203659571
brain,0.09754850418006687
hate much,0.09786509295475875
another,0.09813541095049749
judge,0.09821931536593696
year ago,0.09827366319324031
panic disorder,0.09874546169239123
lazy,0.0987594988077976
jump,0.09882567159291393
depression suffer,0.09903209104223018
normally,0.09936524031790261
two week,0.09985218055342691
matter,0.10019511827745668
pilot,0.10052841220640801
get ta,0.10054718409403325
period,0.10061303248310605
date,0.10078971388326066
rise,0.10104752041131392
say,0.10121101866940031
fat,0.1012654369986989
woke,0.10140509815036115
want talk,0.10155993351247292
twenty one,0.10158327133890889
one pilot,0.10158327133890889
mean,0.10177885067702089
throw,0.10186898182245309
education,0.10208293097925443
wo,0.10259351444478228
get bed,0.10316186451572322
wo nt,0.10319176938931193
birth,0.10336251914866429
exist,0.10347419557855479
people say,0.10377885099397213
ever get,0.10404196095360217
choose,0.10464777581502542
season,0.1048515046635072
reality,0.10523099907582852
stand,0.10568617443836283
reading,0.10576223972852221
tonight,0.1072169327357339
environment,0.10729595459028918
basically,0.1077231679398391
store,0.1077451216712644
hi,0.10786299493452513
really feel,0.10822673069715585
tax,0.10853318647029547
ago,0.10877824964953677
ship,0.10894924062215533
almost,0.10907835349155084
achieve,0.10926066641971961
push,0.10949623022705189
expect,0.11068778864599971
damn near,0.11091086036022435
long time,0.11128124379128025
anxiety severe,0.11162488216385266
randomly,0.11170118800948935
like say,0.11175996551070967
